<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE.BRN,D,20140102,00:00:00,110.7400000,111.0700000,107.4900000,107.6500000,32977
ICE.BRN,D,20140103,00:00:00,107.6600000,108.4200000,106.4400000,106.6500000,35605
ICE.BRN,D,20140106,00:00:00,106.6800000,107.6000000,106.2800000,106.6700000,35795
ICE.BRN,D,20140107,00:00:00,106.7300000,107.3300000,106.5600000,107.0100000,30686
ICE.BRN,D,20140108,00:00:00,107.0800000,107.5400000,106.6000000,106.8300000,36728
ICE.BRN,D,20140109,00:00:00,106.8300000,107.7100000,105.7000000,106.0000000,55777
ICE.BRN,D,20140110,00:00:00,105.9100000,106.8900000,105.5000000,106.8300000,70001
ICE.BRN,D,20140112,00:00:00,106.7500000,106.9600000,106.6100000,106.9200000,227
ICE.BRN,D,20140113,00:00:00,106.9200000,106.9300000,105.5800000,105.5900000,54066
ICE.BRN,D,20140114,00:00:00,105.8700000,106.3000000,105.2200000,105.2500000,78099
ICE.BRN,D,20140115,00:00:00,105.2700000,106.7200000,105.0600000,105.9700000,111679
ICE.BRN,D,20140116,00:00:00,106.1100000,106.4000000,105.4600000,105.4800000,105069
ICE.BRN,D,20140117,00:00:00,105.5500000,106.9500000,105.4400000,106.3200000,96847
ICE.BRN,D,20140119,00:00:00,106.3400000,106.4400000,106.2400000,106.4000000,56
ICE.BRN,D,20140120,00:00:00,106.4400000,106.6500000,105.8100000,106.2000000,43938
ICE.BRN,D,20140121,00:00:00,106.3500000,108.0000000,106.2800000,106.8000000,120725
ICE.BRN,D,20140122,00:00:00,106.9000000,108.3300000,106.7800000,108.0800000,99777
ICE.BRN,D,20140123,00:00:00,108.1400000,108.2800000,107.3700000,107.5800000,98980
ICE.BRN,D,20140124,00:00:00,107.5800000,108.0300000,106.2300000,107.8900000,151029
ICE.BRN,D,20140126,00:00:00,107.9300000,108.0900000,107.8800000,107.9500000,371
ICE.BRN,D,20140127,00:00:00,107.9500000,107.9900000,106.4500000,106.9400000,107139
ICE.BRN,D,20140128,00:00:00,106.8600000,107.7900000,106.7600000,107.4100000,98697
ICE.BRN,D,20140129,00:00:00,107.3600000,108.0500000,106.9300000,107.7500000,107319
ICE.BRN,D,20140130,00:00:00,107.8500000,108.4000000,107.6500000,107.7000000,85179
ICE.BRN,D,20140131,00:00:00,107.7500000,107.9400000,105.7700000,105.7900000,121741
ICE.BRN,D,20140202,00:00:00,105.7500000,105.7500000,105.4400000,105.5500000,113
ICE.BRN,D,20140203,00:00:00,105.5700000,106.0500000,104.7800000,105.2700000,49438
ICE.BRN,D,20140204,00:00:00,105.2000000,105.5600000,104.8800000,105.3800000,31416
ICE.BRN,D,20140205,00:00:00,105.3300000,105.8200000,105.0000000,105.5600000,38648
ICE.BRN,D,20140206,00:00:00,105.7100000,106.8800000,105.5500000,106.7500000,39920
ICE.BRN,D,20140207,00:00:00,106.7700000,109.0200000,106.2900000,108.8300000,73752
ICE.BRN,D,20140209,00:00:00,108.9600000,108.9700000,108.7700000,108.9500000,64
ICE.BRN,D,20140210,00:00:00,108.9600000,109.0100000,107.7300000,107.7800000,61597
ICE.BRN,D,20140211,00:00:00,107.8300000,108.6300000,107.8300000,108.2000000,70319
ICE.BRN,D,20140212,00:00:00,108.2400000,109.0000000,108.0700000,108.2700000,103739
ICE.BRN,D,20140213,00:00:00,108.2000000,108.7400000,107.6400000,108.5800000,102707
ICE.BRN,D,20140214,00:00:00,108.5800000,109.2500000,107.8500000,109.0500000,86107
ICE.BRN,D,20140216,00:00:00,109.0200000,109.4000000,109.0200000,109.3800000,499
ICE.BRN,D,20140217,00:00:00,109.3600000,109.3700000,108.6400000,109.1000000,34451
ICE.BRN,D,20140218,00:00:00,109.0900000,110.7000000,108.8400000,110.6300000,101275
ICE.BRN,D,20140219,00:00:00,110.5200000,110.8200000,110.0200000,110.4200000,100932
ICE.BRN,D,20140220,00:00:00,110.3900000,110.4900000,109.5800000,110.4900000,100575
ICE.BRN,D,20140221,00:00:00,110.4900000,110.4900000,109.3500000,109.8400000,100833
ICE.BRN,D,20140223,00:00:00,109.9900000,110.1300000,109.8900000,110.1300000,272
ICE.BRN,D,20140224,00:00:00,110.1200000,110.7700000,109.5000000,110.7100000,100360
ICE.BRN,D,20140225,00:00:00,110.6400000,110.6400000,109.4200000,109.5900000,93772
ICE.BRN,D,20140226,00:00:00,109.5600000,109.9700000,109.2000000,109.5100000,91286
ICE.BRN,D,20140227,00:00:00,109.4100000,109.4500000,108.6500000,108.7700000,109488
ICE.BRN,D,20140228,00:00:00,108.8500000,109.3400000,108.4000000,108.6500000,102250
