<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.RTSI,D,20190103,00:00:00,1068.7800000,1093.2200000,1063.6300000,1086.8000000,334969354
RI.RTSI,D,20190104,00:00:00,1091.8100000,1118.0300000,1091.8100000,1118.0300000,294364853
RI.RTSI,D,20190108,00:00:00,1115.1100000,1127.7000000,1114.3800000,1122.9000000,401837374
RI.RTSI,D,20190109,00:00:00,1127.0900000,1137.1500000,1124.4200000,1135.5100000,544061590
RI.RTSI,D,20190110,00:00:00,1137.5300000,1142.3200000,1129.1500000,1142.3200000,513228140
RI.RTSI,D,20190111,00:00:00,1147.1700000,1153.3100000,1140.3900000,1148.7500000,543376831
RI.RTSI,D,20190114,00:00:00,1146.3700000,1147.4600000,1132.2800000,1147.1600000,349829177
RI.RTSI,D,20190115,00:00:00,1146.9700000,1155.0300000,1139.1600000,1148.0300000,502460599
RI.RTSI,D,20190116,00:00:00,1148.1500000,1155.0900000,1146.2000000,1152.9900000,494709941
RI.RTSI,D,20190117,00:00:00,1157.1400000,1157.8900000,1148.2500000,1157.0600000,558428235
RI.RTSI,D,20190118,00:00:00,1164.9500000,1176.4200000,1163.3800000,1176.4200000,570614264
RI.RTSI,D,20190121,00:00:00,1176.8000000,1178.4400000,1171.0900000,1171.0900000,406565926
RI.RTSI,D,20190122,00:00:00,1169.2800000,1169.7900000,1161.9100000,1169.7900000,507150601
RI.RTSI,D,20190123,00:00:00,1168.4300000,1186.6100000,1167.8600000,1186.5100000,596685002
RI.RTSI,D,20190124,00:00:00,1185.9300000,1191.5000000,1179.7400000,1188.1500000,749538217
RI.RTSI,D,20190125,00:00:00,1191.1700000,1193.2900000,1181.7900000,1192.0200000,514701434
RI.RTSI,D,20190128,00:00:00,1193.1500000,1196.7800000,1175.1200000,1178.9100000,505925116
RI.RTSI,D,20190129,00:00:00,1177.6200000,1192.7900000,1169.0600000,1191.3800000,547068741
RI.RTSI,D,20190130,00:00:00,1190.1200000,1200.0900000,1187.6600000,1198.9900000,568490931
RI.RTSI,D,20190131,00:00:00,1210.8900000,1224.5500000,1210.8900000,1214.4500000,752549475
RI.RTSI,D,20190201,00:00:00,1213.0200000,1218.4100000,1205.1100000,1211.2300000,534648987
RI.RTSI,D,20190204,00:00:00,1213.3600000,1219.0900000,1209.2000000,1211.1500000,407317771
RI.RTSI,D,20190205,00:00:00,1213.9000000,1226.5600000,1212.3300000,1223.4800000,484817322
RI.RTSI,D,20190206,00:00:00,1222.9400000,1225.0800000,1214.5600000,1215.8300000,440726320
RI.RTSI,D,20190207,00:00:00,1213.5100000,1213.5100000,1197.0600000,1200.1400000,576866530
RI.RTSI,D,20190208,00:00:00,1196.1400000,1201.4100000,1189.5700000,1199.6500000,449885002
RI.RTSI,D,20190211,00:00:00,1198.8700000,1209.8100000,1198.8100000,1201.3300000,445770034
RI.RTSI,D,20190212,00:00:00,1202.6800000,1218.8300000,1202.6800000,1215.4700000,540525412
RI.RTSI,D,20190213,00:00:00,1211.6200000,1215.4800000,1190.6000000,1190.7900000,729119318
RI.RTSI,D,20190214,00:00:00,1165.3600000,1174.1900000,1151.9500000,1156.3100000,1001223960
RI.RTSI,D,20190215,00:00:00,1166.6300000,1178.0000000,1166.6300000,1177.5000000,598119086
RI.RTSI,D,20190218,00:00:00,1182.8500000,1186.6600000,1167.5400000,1177.0400000,515816560
RI.RTSI,D,20190219,00:00:00,1174.8300000,1180.0100000,1164.8900000,1173.6400000,494921253
RI.RTSI,D,20190220,00:00:00,1181.0500000,1194.8500000,1179.6100000,1194.4000000,561916824
RI.RTSI,D,20190221,00:00:00,1194.9700000,1199.7100000,1184.5000000,1188.6000000,519959145
RI.RTSI,D,20190222,00:00:00,1187.6500000,1198.4000000,1186.1400000,1198.4000000,386204158
RI.RTSI,D,20190225,00:00:00,1200.5900000,1210.8800000,1195.1200000,1201.5700000,546392047
RI.RTSI,D,20190226,00:00:00,1194.5700000,1195.7800000,1186.2800000,1193.0700000,472029550
RI.RTSI,D,20190227,00:00:00,1196.5700000,1199.7700000,1183.3800000,1191.0100000,490646898
RI.RTSI,D,20190228,00:00:00,1192.0900000,1192.3400000,1181.1400000,1188.2800000,601489292
RI.RTSI,D,20190301,00:00:00,1189.8400000,1194.4700000,1184.4600000,1187.3500000,429398711
RI.RTSI,D,20190304,00:00:00,1184.8900000,1190.2800000,1182.7200000,1185.8300000,371634622
RI.RTSI,D,20190305,00:00:00,1181.4700000,1185.6500000,1177.3700000,1180.1500000,448055570
RI.RTSI,D,20190306,00:00:00,1183.5500000,1193.9100000,1183.5500000,1191.5100000,509127253
RI.RTSI,D,20190307,00:00:00,1189.8100000,1190.9400000,1177.5300000,1179.5800000,466379598
RI.RTSI,D,20190311,00:00:00,1174.8300000,1179.6200000,1173.0500000,1176.7100000,493850679
RI.RTSI,D,20190312,00:00:00,1179.4500000,1188.3700000,1178.7800000,1183.3400000,437130943
RI.RTSI,D,20190313,00:00:00,1180.9700000,1189.1400000,1177.8400000,1189.1400000,668183580
RI.RTSI,D,20190314,00:00:00,1189.5800000,1193.2100000,1179.6700000,1181.9600000,510294954
