<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.RTSI,30,20160104,10:30:00,755.1600000,761.6800000,753.4700000,756.6600000,2160203016
RI.RTSI,30,20160104,11:00:00,756.6600000,756.9100000,754.1300000,755.7700000,11686369
RI.RTSI,30,20160104,11:30:00,755.7700000,755.7700000,742.9100000,743.0500000,29591288
RI.RTSI,30,20160104,12:00:00,743.0500000,745.6500000,741.7900000,744.6400000,19688530
RI.RTSI,30,20160104,12:30:00,744.6700000,745.4200000,741.6700000,744.8100000,16505175
RI.RTSI,30,20160104,13:00:00,744.8200000,747.0100000,744.1200000,745.8900000,8450271
RI.RTSI,30,20160104,13:30:00,745.9200000,749.5400000,745.6800000,748.5500000,8281696
RI.RTSI,30,20160104,14:00:00,748.5600000,750.3900000,747.1200000,750.3200000,6681080
RI.RTSI,30,20160104,14:30:00,750.3400000,751.1300000,748.6600000,748.6600000,10680395
RI.RTSI,30,20160104,15:00:00,748.6800000,749.4500000,746.3300000,749.0900000,5552066
RI.RTSI,30,20160104,15:30:00,749.0700000,750.0900000,747.8300000,749.1500000,5291627
RI.RTSI,30,20160104,16:00:00,749.1500000,750.5400000,748.6100000,748.6200000,4651751
RI.RTSI,30,20160104,16:30:00,748.5900000,750.8300000,747.9400000,750.6300000,8081345
RI.RTSI,30,20160104,17:00:00,750.6300000,751.8300000,750.2800000,750.8600000,7306931
RI.RTSI,30,20160104,17:30:00,750.8600000,753.0600000,750.4100000,752.9400000,8638235
RI.RTSI,30,20160104,18:00:00,752.9300000,752.9600000,750.5700000,752.7900000,11863786
RI.RTSI,30,20160104,18:30:00,752.7900000,753.7300000,751.7600000,751.8000000,18462666
RI.RTSI,30,20160104,19:00:00,751.7800000,751.7800000,749.2800000,749.2800000,10619830
RI.RTSI,30,20160105,10:30:00,746.3800000,750.5700000,746.3800000,747.8000000,2159323713
RI.RTSI,30,20160105,11:00:00,747.7600000,750.5300000,747.6200000,747.8700000,13319728
RI.RTSI,30,20160105,11:30:00,747.7800000,749.2800000,745.3900000,747.8900000,19235512
RI.RTSI,30,20160105,12:00:00,747.9400000,748.8100000,746.6700000,748.3400000,15078459
RI.RTSI,30,20160105,12:30:00,748.4600000,748.9300000,746.8100000,747.0800000,12559824
RI.RTSI,30,20160105,13:00:00,746.9700000,748.8300000,746.7500000,747.9300000,8182442
RI.RTSI,30,20160105,13:30:00,747.9300000,747.9300000,743.5800000,744.4300000,19042795
RI.RTSI,30,20160105,14:00:00,744.4600000,745.5500000,744.1500000,744.6300000,6569148
RI.RTSI,30,20160105,14:30:00,744.6200000,745.3500000,743.9200000,744.6200000,8368133
RI.RTSI,30,20160105,15:00:00,744.6500000,745.9900000,744.2900000,745.7000000,7751566
RI.RTSI,30,20160105,15:30:00,745.7000000,745.9600000,744.2900000,744.5700000,8285570
RI.RTSI,30,20160105,16:00:00,744.5700000,746.8200000,744.0600000,746.5800000,8859300
RI.RTSI,30,20160105,16:30:00,746.5800000,753.9700000,746.0000000,752.5100000,28759911
RI.RTSI,30,20160105,17:00:00,752.5200000,752.9100000,750.9000000,752.5500000,12166982
RI.RTSI,30,20160105,17:30:00,752.5500000,753.0100000,747.8800000,749.4000000,13050057
RI.RTSI,30,20160105,18:00:00,749.4000000,751.2800000,749.3900000,749.8700000,11587483
RI.RTSI,30,20160105,18:30:00,749.8800000,751.8500000,749.2900000,751.3500000,20663368
RI.RTSI,30,20160105,19:00:00,751.3200000,752.7000000,751.3000000,752.7000000,17432703
RI.RTSI,30,20160106,10:30:00,752.6300000,754.0400000,751.5800000,751.7800000,2167743745
RI.RTSI,30,20160106,11:00:00,751.8300000,751.8300000,749.1100000,749.7000000,9134429
RI.RTSI,30,20160106,11:30:00,749.7000000,749.7800000,744.4300000,745.2400000,19261375
RI.RTSI,30,20160106,12:00:00,745.1700000,747.5200000,744.8600000,747.3000000,9623837
RI.RTSI,30,20160106,12:30:00,747.2800000,748.1700000,746.3200000,747.7300000,9605588
RI.RTSI,30,20160106,13:00:00,747.7300000,747.8100000,745.2300000,745.6200000,6218038
RI.RTSI,30,20160106,13:30:00,745.6200000,745.6700000,740.5000000,740.6700000,12806099
RI.RTSI,30,20160106,14:00:00,740.6800000,741.8300000,739.6100000,740.4700000,11815167
RI.RTSI,30,20160106,14:30:00,740.5500000,741.4400000,739.6400000,741.3800000,11246148
RI.RTSI,30,20160106,15:00:00,741.3500000,741.5900000,740.1700000,740.8600000,4790320
RI.RTSI,30,20160106,15:30:00,740.8600000,741.3900000,739.3900000,739.9400000,8441614
RI.RTSI,30,20160106,16:00:00,739.9200000,741.0100000,738.4600000,738.6400000,8813073
RI.RTSI,30,20160106,16:30:00,738.6600000,739.9300000,738.3400000,739.9300000,6516912
RI.RTSI,30,20160106,17:00:00,739.9100000,740.7400000,739.2500000,739.9200000,9772071
RI.RTSI,30,20160106,17:30:00,739.9200000,739.9200000,735.6200000,737.0000000,13281006
RI.RTSI,30,20160106,18:00:00,737.0000000,741.8200000,736.6200000,740.8400000,10220883
RI.RTSI,30,20160106,18:30:00,740.8500000,744.6300000,739.6100000,742.9100000,25098565
RI.RTSI,30,20160106,19:00:00,742.9100000,743.3100000,736.8200000,736.8200000,13338029
RI.RTSI,30,20160111,10:30:00,721.1200000,721.7500000,701.2100000,705.8300000,2214553340
RI.RTSI,30,20160111,11:00:00,705.7500000,707.7900000,704.6600000,707.7100000,22780117
RI.RTSI,30,20160111,11:30:00,707.7100000,711.2000000,706.7300000,707.1700000,46250743
RI.RTSI,30,20160111,12:00:00,707.1900000,712.6300000,706.1800000,710.0200000,30842078
RI.RTSI,30,20160111,12:30:00,710.0200000,710.7500000,708.9800000,709.9300000,17051609
RI.RTSI,30,20160111,13:00:00,709.8800000,710.0200000,708.1400000,709.9500000,14592849
RI.RTSI,30,20160111,13:30:00,709.9700000,710.0700000,706.9800000,707.4800000,18904499
RI.RTSI,30,20160111,14:00:00,707.4800000,707.5700000,704.3900000,706.3400000,16520212
RI.RTSI,30,20160111,14:30:00,706.3400000,707.8700000,702.3800000,703.5400000,24604777
RI.RTSI,30,20160111,15:00:00,703.5400000,704.8300000,702.5600000,704.5600000,11524990
RI.RTSI,30,20160111,15:30:00,704.5600000,706.5700000,704.1700000,706.2800000,11285268
RI.RTSI,30,20160111,16:00:00,706.2900000,707.2200000,704.7600000,706.2400000,6907081
RI.RTSI,30,20160111,16:30:00,706.2600000,708.8400000,704.5100000,705.4300000,27213214
RI.RTSI,30,20160111,17:00:00,705.3800000,708.1500000,705.1200000,705.7100000,11580713
RI.RTSI,30,20160111,17:30:00,705.7100000,706.7600000,703.3700000,706.7200000,10256469
RI.RTSI,30,20160111,18:00:00,706.7100000,706.9500000,702.4200000,702.8700000,17737794
RI.RTSI,30,20160111,18:30:00,702.8800000,703.0800000,699.7000000,700.5800000,39085523
RI.RTSI,30,20160111,19:00:00,700.6700000,701.8300000,699.1300000,699.1300000,15276587
RI.RTSI,30,20160112,10:30:00,690.1500000,690.1500000,681.2800000,684.7700000,2195787192
RI.RTSI,30,20160112,11:00:00,684.7800000,686.3100000,683.0600000,685.5500000,21301617
RI.RTSI,30,20160112,11:30:00,685.5200000,691.8600000,685.1100000,690.8900000,36849873
RI.RTSI,30,20160112,12:00:00,690.9500000,691.8100000,689.5100000,690.7800000,22546925
RI.RTSI,30,20160112,12:30:00,690.7400000,697.7000000,689.9800000,697.4600000,33668678
RI.RTSI,30,20160112,13:00:00,697.4300000,698.4900000,694.0800000,698.2700000,24722185
RI.RTSI,30,20160112,13:30:00,698.3100000,699.3000000,697.4500000,699.1300000,14778585
RI.RTSI,30,20160112,14:00:00,699.1400000,704.3800000,698.3900000,703.9600000,32680427
RI.RTSI,30,20160112,14:30:00,703.9600000,704.2400000,700.9000000,702.7600000,24394919
RI.RTSI,30,20160112,15:00:00,702.7500000,702.8200000,698.5100000,699.1400000,14926584
RI.RTSI,30,20160112,15:30:00,699.0300000,699.7700000,697.4800000,699.4800000,15335892
RI.RTSI,30,20160112,16:00:00,699.4600000,699.4900000,697.0700000,698.4300000,9878161
RI.RTSI,30,20160112,16:30:00,698.4400000,701.4800000,698.4100000,698.8300000,16979549
RI.RTSI,30,20160112,17:00:00,698.8300000,705.6300000,698.5100000,704.8100000,25816668
RI.RTSI,30,20160112,17:30:00,704.8100000,706.3100000,703.5300000,703.7800000,19418542
RI.RTSI,30,20160112,18:00:00,703.7500000,705.8200000,701.4900000,702.9500000,20876435
