<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,D,20140101,00:00:00,32.8700000,32.9400000,32.7800000,32.8400000,0
USDRUB,D,20140102,00:00:00,32.8500000,33.2000000,32.8400000,33.1100000,0
USDRUB,D,20140103,00:00:00,33.1100000,33.2200000,33.0100000,33.2000000,0
USDRUB,D,20140104,00:00:00,33.2000000,33.2100000,33.1600000,33.1800000,0
USDRUB,D,20140106,00:00:00,33.1900000,33.2900000,33.1400000,33.1900000,0
USDRUB,D,20140107,00:00:00,33.1900000,33.2600000,33.0900000,33.1400000,0
USDRUB,D,20140108,00:00:00,33.1400000,33.2200000,33.0400000,33.1500000,0
USDRUB,D,20140109,00:00:00,33.1800000,33.2700000,33.0500000,33.2100000,0
USDRUB,D,20140110,00:00:00,33.2300000,33.3000000,32.9400000,32.9900000,0
USDRUB,D,20140111,00:00:00,33.0300000,33.0700000,32.9800000,32.9900000,0
USDRUB,D,20140112,00:00:00,32.9900000,32.9900000,32.9900000,32.9900000,0
USDRUB,D,20140113,00:00:00,33.0300000,33.3000000,33.0200000,33.2800000,0
USDRUB,D,20140114,00:00:00,33.2800000,33.3700000,33.2000000,33.3000000,0
USDRUB,D,20140115,00:00:00,33.3100000,33.4500000,33.2900000,33.4000000,0
USDRUB,D,20140116,00:00:00,33.4100000,33.4600000,33.3300000,33.3800000,0
USDRUB,D,20140117,00:00:00,33.4100000,33.6100000,33.3800000,33.5900000,0
USDRUB,D,20140118,00:00:00,33.6000000,33.6200000,33.5800000,33.5900000,0
USDRUB,D,20140120,00:00:00,33.5800000,33.8200000,33.5600000,33.7600000,0
USDRUB,D,20140121,00:00:00,33.7800000,34.0000000,33.7500000,33.9300000,0
USDRUB,D,20140122,00:00:00,33.9300000,33.9800000,33.8100000,33.9300000,0
USDRUB,D,20140123,00:00:00,33.9500000,34.2000000,33.9200000,34.1400000,0
USDRUB,D,20140124,00:00:00,34.1400000,34.6200000,34.0700000,34.5100000,0
USDRUB,D,20140125,00:00:00,34.5000000,34.5400000,34.4800000,34.4800000,0
USDRUB,D,20140127,00:00:00,34.4800000,34.8600000,34.4200000,34.6700000,0
USDRUB,D,20140128,00:00:00,34.6800000,34.8600000,34.4300000,34.7100000,0
USDRUB,D,20140129,00:00:00,34.7600000,35.2800000,34.4400000,35.1700000,0
USDRUB,D,20140130,00:00:00,35.1800000,35.4500000,34.7800000,34.9000000,0
USDRUB,D,20140131,00:00:00,34.9200000,35.3500000,34.8400000,35.1600000,0
USDRUB,D,20140201,00:00:00,35.1800000,35.1800000,35.1100000,35.1100000,0
USDRUB,D,20140202,00:00:00,35.1300000,35.1300000,35.1300000,35.1300000,0
